trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
85,False,"{'a': 0.1999999999999997, 'e': 0.18268352405273466}",20,13,10.454906281391754,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
86,False,"{'a': 0.1999999999999997, 'e': 0.17906614791149325}",25,8,-12.548425944492653,"{0: 14, 1: 0, 2: 2, 3: 1, 4: 0}",1
87,False,"{'a': 0.1999999999999997, 'e': 0.1755204006169969}",25,4,21.423085154121548,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
88,False,"{'a': 0.1999999999999997, 'e': 0.17204486382305054}",25,0,28.197874764149855,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
89,False,"{'a': 0.1999999999999997, 'e': 0.16863814726859552}",20,0,24.410383210108805,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
90,False,"{'a': 0.1999999999999997, 'e': 0.16529888822158656}",25,0,36.59480039325381,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
91,False,"{'a': 0.1999999999999997, 'e': 0.16202575093388077}",25,14,-29.606158660763146,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 1}",1
92,False,"{'a': 0.1999999999999997, 'e': 0.1588174261069207}",20,0,20.141104491611348,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
93,False,"{'a': 0.1999999999999997, 'e': 0.1556726303679973}",25,0,-26.881789410238014,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
94,False,"{'a': 0.1999999999999997, 'e': 0.15259010575688386}",25,10,-27.743962230226245,"{0: 12, 1: 2, 2: 0, 3: 0, 4: 1}",1
95,False,"{'a': 0.1999999999999997, 'e': 0.14956861922263504}",20,13,2.1755947738634838,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
96,False,"{'a': 0.1999999999999997, 'e': 0.14660696213035015}",20,2,-23.031704748026954,"{0: 15, 1: 0, 2: 1, 3: 2, 4: 0}",1
97,False,"{'a': 0.1999999999999997, 'e': 0.14370394977770296}",20,11,-2.796113732228819,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
98,False,"{'a': 0.1999999999999997, 'e': 0.140858420921045}",20,8,9.351215509343119,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
99,False,"{'a': 0.1999999999999997, 'e': 0.13806923731089282}",25,19,0.42396217673372094,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
100,False,"{'a': 0.1999999999999997, 'e': 0.1353352832366127}",20,0,-41.770379071104124,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 1}",0
101,False,"{'a': 0.1999999999999997, 'e': 0.13265546508012174}",20,9,7.459850004571751,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
102,False,"{'a': 0.1999999999999997, 'e': 0.13002871087842593}",25,9,23.769018781840717,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
103,False,"{'a': 0.1999999999999997, 'e': 0.12745396989482075}",25,14,-3.0815738450251766,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
104,False,"{'a': 0.1999999999999997, 'e': 0.12493021219858243}",25,16,16.553874944590845,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
105,False,"{'a': 0.1999999999999997, 'e': 0.12245642825298192}",20,0,20.892524237533774,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",1
106,False,"{'a': 0.1999999999999997, 'e': 0.12003162851145674}",25,2,31.09099221531278,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
107,False,"{'a': 0.1999999999999997, 'e': 0.1176548430217792}",20,3,6.442834118826421,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
108,False,"{'a': 0.1999999999999997, 'e': 0.11532512103806253}",20,7,23.362073694510098,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
109,False,"{'a': 0.1999999999999997, 'e': 0.11304153064044986}",25,19,4.736665194047706,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
110,False,"{'a': 0.1999999999999997, 'e': 0.11080315836233387}",20,0,-5.546301609317237,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
111,False,"{'a': 0.1999999999999997, 'e': 0.10860910882495797}",25,14,19.830704870509283,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
112,False,"{'a': 0.1999999999999997, 'e': 0.10645850437925282}",20,9,18.054526889997902,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
113,False,"{'a': 0.1999999999999997, 'e': 0.10435048475476501}",20,2,-38.218380945963666,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 1}",1
114,False,"{'a': 0.1999999999999997, 'e': 0.10228420671553745}",20,12,-10.589476279101055,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
115,False,"{'a': 0.1999999999999997, 'e': 0.10025884372280372}",25,9,25.14348720041633,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
116,False,"{'a': 0.1999999999999997, 'e': 0.09827358560436156}",20,2,-11.791719865997452,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
117,False,"{'a': 0.1999999999999997, 'e': 0.09632763823049305}",25,18,12.600340331041245,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
118,False,"{'a': 0.1999999999999997, 'e': 0.09442022319630236}",35,11,41.974936504308715,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
119,False,"{'a': 0.1999999999999997, 'e': 0.0925505775103433}",30,15,24.878946493379743,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
120,False,"{'a': 0.1999999999999997, 'e': 0.09071795328941253}",30,20,18.08027494159508,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
121,False,"{'a': 0.1999999999999997, 'e': 0.08892161745938636}",30,22,13.221389163347421,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
122,False,"{'a': 0.1999999999999997, 'e': 0.08716085146198131}",25,13,10.758251584887585,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
123,False,"{'a': 0.1999999999999997, 'e': 0.08543495096732125}",30,14,-13.186670541883785,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
124,False,"{'a': 0.1999999999999997, 'e': 0.08374322559219596}",20,8,19.448223309989856,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
125,False,"{'a': 0.1999999999999997, 'e': 0.0820849986238988}",20,10,18.212262918927074,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
126,False,"{'a': 0.1999999999999997, 'e': 0.08045960674953244}",25,11,9.35571325104883,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
127,False,"{'a': 0.1999999999999997, 'e': 0.07886639979067496}",25,8,21.90514596062411,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
128,False,"{'a': 0.1999999999999997, 'e': 0.07730474044329975}",25,16,17.430149120026076,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
129,False,"{'a': 0.1999999999999997, 'e': 0.07577400402284548}",25,7,30.345544636741575,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
130,False,"{'a': 0.1999999999999997, 'e': 0.07427357821433389}",20,10,12.476280248817586,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
131,False,"{'a': 0.1999999999999997, 'e': 0.0728028628274356}",20,0,18.84185166386948,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
132,False,"{'a': 0.1999999999999997, 'e': 0.07136126955638607}",30,20,-29.520448545619818,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 1}",1
133,False,"{'a': 0.1999999999999997, 'e': 0.06994822174465536}",20,8,22.033865859054913,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.1999999999999997, 'e': 0.06856315415427792}",30,4,29.508751427693216,"{0: 25, 1: 0, 2: 1, 3: 0, 4: 0}",1
