trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
67,False,"{'a': 0.1999999999999997, 'e': 0.261845668580326}",25,0,-30.04683377124049,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
68,False,"{'a': 0.1999999999999997, 'e': 0.2566607769535559}",20,0,3.920927629435696,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
69,False,"{'a': 0.1999999999999997, 'e': 0.2515785530597565}",30,11,15.984078933601241,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
70,False,"{'a': 0.1999999999999997, 'e': 0.24659696394160646}",35,0,6.399253543522627,"{0: 30, 1: 3, 2: 2, 3: 0, 4: 0}",0
71,False,"{'a': 0.1999999999999997, 'e': 0.24171401689703648}",20,0,-12.405099125540385,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
72,False,"{'a': 0.1999999999999997, 'e': 0.2369277586821218}",20,10,-6.954905627177665,"{0: 8, 1: 1, 2: 0, 3: 1, 4: 0}",1
73,False,"{'a': 0.1999999999999997, 'e': 0.23223627472975886}",35,0,-25.25392579131086,"{0: 31, 1: 1, 2: 2, 3: 0, 4: 1}",0
74,False,"{'a': 0.1999999999999997, 'e': 0.22763768838381276}",20,0,-5.431067831013586,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
75,False,"{'a': 0.1999999999999997, 'e': 0.22313016014842985}",25,1,-71.17630532917678,"{0: 19, 1: 2, 2: 1, 3: 0, 4: 2}",1
76,False,"{'a': 0.1999999999999997, 'e': 0.21871188695221477}",25,2,-11.91310415506736,"{0: 21, 1: 1, 2: 0, 3: 0, 4: 1}",1
77,False,"{'a': 0.1999999999999997, 'e': 0.21438110142697797}",20,2,7.332753538369742,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
78,False,"{'a': 0.1999999999999997, 'e': 0.21013607120076475}",25,12,1.4306223695031113,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 0}",1
79,False,"{'a': 0.1999999999999997, 'e': 0.20597509820488347}",30,16,25.443662349588458,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
80,False,"{'a': 0.1999999999999997, 'e': 0.2018965179946554}",25,0,-37.55697174396971,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
81,False,"{'a': 0.1999999999999997, 'e': 0.19789869908361468}",30,16,-4.812175517042832,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
82,False,"{'a': 0.1999999999999997, 'e': 0.19398004229089189}",30,9,25.412091748316485,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 0}",1
83,False,"{'a': 0.1999999999999997, 'e': 0.19013898010152053}",20,14,10.04995802466253,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
84,False,"{'a': 0.1999999999999997, 'e': 0.18637397603941}",20,1,1.7639465696983962,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 0}",1
85,False,"{'a': 0.1999999999999997, 'e': 0.18268352405273466}",30,20,-24.96277472544109,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
86,False,"{'a': 0.1999999999999997, 'e': 0.17906614791149325}",20,8,-31.861111003487434,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
87,False,"{'a': 0.1999999999999997, 'e': 0.1755204006169969}",25,5,11.330784563238465,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",1
88,False,"{'a': 0.1999999999999997, 'e': 0.17204486382305054}",25,16,18.732893280415798,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
89,False,"{'a': 0.1999999999999997, 'e': 0.16863814726859552}",20,11,8.335629732384964,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
90,False,"{'a': 0.1999999999999997, 'e': 0.16529888822158656}",20,14,-18.269306677112784,"{0: 4, 1: 1, 2: 0, 3: 1, 4: 0}",1
91,False,"{'a': 0.1999999999999997, 'e': 0.16202575093388077}",30,20,18.945505146406948,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
92,False,"{'a': 0.1999999999999997, 'e': 0.1588174261069207}",20,9,13.629389839593362,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
93,False,"{'a': 0.1999999999999997, 'e': 0.1556726303679973}",35,18,-2.1572904336494405,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 0}",1
94,False,"{'a': 0.1999999999999997, 'e': 0.15259010575688386}",25,0,12.287105031725002,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
95,False,"{'a': 0.1999999999999997, 'e': 0.14956861922263504}",25,14,18.907716498403072,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
96,False,"{'a': 0.1999999999999997, 'e': 0.14660696213035015}",20,0,27.61849351297094,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
97,False,"{'a': 0.1999999999999997, 'e': 0.14370394977770296}",20,0,13.204041972458638,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
98,False,"{'a': 0.1999999999999997, 'e': 0.140858420921045}",20,0,31.491206080483302,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
99,False,"{'a': 0.1999999999999997, 'e': 0.13806923731089282}",20,7,-21.402879074696944,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
100,False,"{'a': 0.1999999999999997, 'e': 0.1353352832366127}",20,12,15.20495955839041,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
101,False,"{'a': 0.1999999999999997, 'e': 0.13265546508012174}",20,0,13.953522353524612,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
102,False,"{'a': 0.1999999999999997, 'e': 0.13002871087842593}",20,0,-15.165094576040348,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",1
103,False,"{'a': 0.1999999999999997, 'e': 0.12745396989482075}",25,2,12.72010695333056,"{0: 20, 1: 2, 2: 1, 3: 0, 4: 0}",1
104,False,"{'a': 0.1999999999999997, 'e': 0.12493021219858243}",20,11,16.502045228894435,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
105,False,"{'a': 0.1999999999999997, 'e': 0.12245642825298192}",25,20,7.903416545266647,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
106,False,"{'a': 0.1999999999999997, 'e': 0.12003162851145674}",30,20,16.928689607204262,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
107,False,"{'a': 0.1999999999999997, 'e': 0.1176548430217792}",30,19,22.229380660464024,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
108,False,"{'a': 0.1999999999999997, 'e': 0.11532512103806253}",25,0,-15.036429919654726,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 1}",0
109,False,"{'a': 0.1999999999999997, 'e': 0.11304153064044986}",20,3,-14.76279837933698,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
110,False,"{'a': 0.1999999999999997, 'e': 0.11080315836233387}",20,12,-26.79507108816122,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
111,False,"{'a': 0.1999999999999997, 'e': 0.10860910882495797}",25,11,23.69830796200528,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
